Source,Target,Distance,ExecutionTime
1100465814,4077236338,5399,00000,961583
4077236338,333811866,24198,00000,1833875
333811866,2899843752,17193,00000,1983000
2899843752,300710808,3597,00000,1131291
300710808,1021993361,2679,00000,887333
1021993361,288790946,2377,00000,607875
288790946,60207147,7584,00000,1203750
60207147,298847777,11601,00000,1710833
298847777,333178267,6511,00000,952500
333178267,3374070691,7400,00000,1207917
3374070691,1082886097,27299,00000,1923166
1082886097,479225112,29094,00000,2017875
479225112,1257096542,4459,00000,879083
1257096542,282951755,4779,00000,976042
282951755,2518397103,4431,00000,1264667
2518397103,4920072664,7996,00000,1817791
4920072664,490715982,32597,00000,2512334
490715982,2081194643,603,00000,765292
2081194643,1100923522,32263,00000,2245000
1100923522,28848742,29020,00000,2717958
28848742,3657801413,20193,00000,2789625
3657801413,1081960558,6286,00000,1172917
1081960558,1240254144,8428,00000,1493084
1240254144,4382590221,5897,00000,1417417
4382590221,3623358698,27198,00000,2475833
3623358698,4718194099,21588,00000,2225750
4718194099,3110937122,12435,00000,1884417
3110937122,280104475,9651,00000,1370500
280104475,1235135961,9843,00000,1262375
1235135961,2233874680,30516,00000,2385208
2233874680,727303333,27712,00000,1891083
727303333,294230241,10155,00000,1358875
294230241,122019960,5858,00000,1077416
122019960,302773492,25546,00000,2493959
302773492,2495077091,4215,00000,723750
2495077091,3578027357,1380,00000,499000
3578027357,2065211056,13653,00000,2078458
2065211056,4069696703,9005,00000,1241291
4069696703,434823197,7917,00000,1626750
434823197,1098600202,5042,00000,1139000
1098600202,366762905,5530,00000,964417
366762905,3947454094,20395,00000,2062583
3947454094,3140391048,677,00000,485875
3140391048,691854,13105,00000,1788334
691854,968514244,8767,00000,1295250
968514244,25643346,12681,00000,1742333
25643346,3080414248,4066,00000,735333
3080414248,443392552,23545,00000,2032709
443392552,878702650,25866,00000,1735667
878702650,2246981120,6768,00000,1125167
2246981120,1793616844,8803,00000,1421291
1793616844,5234193031,23319,00000,1995542
5234193031,3914544539,11841,00000,1641209
3914544539,389028440,13585,00000,2126500
389028440,82657068,10944,00000,1638834
82657068,252323244,5941,00000,2346625
252323244,1080380994,25373,00000,2294917
1080380994,1091352526,29943,00000,2903916
1091352526,286999667,11184,00000,2516833
286999667,364106056,8733,00000,1959083
364106056,2904299489,25926,00000,2979209
2904299489,1156425945,18378,00000,2701083
1156425945,430706160,12369,00000,2086542
430706160,1128414102,6360,00000,1308667
1128414102,664755503,7714,00000,1519250
664755503,1428910921,2907,00000,1126208
1428910921,1419123015,1128,00000,4532958
1419123015,1086691626,6144,00000,5675291
1086691626,315308487,16442,00000,4336708
315308487,1565163508,23156,00000,6605167
1565163508,3121009114,3849,00000,3788083
3121009114,2319225271,6670,00000,4456833
2319225271,268841776,3405,00000,3981250
268841776,1607460113,5810,00000,3549125
1607460113,583233949,3751,00000,1032000
583233949,456384481,2341,00000,780292
456384481,276720922,4000,00000,865875
276720922,1176678730,11036,00000,1359833
1176678730,426957804,5083,00000,1317291
426957804,984785395,2227,00000,612542
984785395,1102894237,19291,00000,1666750
1102894237,3859890763,4440,00000,745584
3859890763,14791313,2018,00000,617542
14791313,4732865799,4569,00000,792750
4732865799,117922,17554,00000,2230792
117922,3758042293,7669,00000,1054167
3758042293,1137729311,11016,00000,1037000
1137729311,603896411,12242,00000,1363500
603896411,1306129599,8239,00000,850458
1306129599,1402242648,2343,00000,568583
1402242648,3515669974,5351,00000,889000
3515669974,5351741142,7076,00000,893208
5351741142,1471929950,28198,00000,1912000
1471929950,32995537,29135,00000,1712959
32995537,1330823060,10662,00000,1051625
1330823060,1979218420,21810,00000,1211625
1979218420,908320080,31718,00000,1443541
908320080,1647818097,8471,00000,1312833
1647818097,26683619,19709,00000,2073500
26683619,1354205344,3595,00000,1018959
1354205344,278225859,6422,00000,1041167
278225859,4319694973,28758,00000,1759042
4319694973,262353929,30381,00000,1952292
262353929,311654666,28556,00000,2010833
311654666,1618100484,7425,00000,1343417
1618100484,1583995770,4602,00000,1192625
1583995770,3006931978,25269,00000,1692417
3006931978,411270633,25700,00000,2205209
411270633,292460453,25501,00000,2094959
292460453,1096181774,26461,00000,2549584
1096181774,4106339318,25651,00000,2206417
4106339318,1246165331,31154,00000,2471833
1246165331,2195326931,8542,00000,1289458
2195326931,4990240524,24204,00000,2899375
4990240524,5104205899,4641,00000,884834
5104205899,33152972,12128,00000,1507959
33152972,333029900,9144,00000,1381291
333029900,2491908280,4867,00000,831125
2491908280,878526845,6327,00000,984833
878526845,543393752,8556,00000,1028500
543393752,1745711718,5016,00000,688458
1745711718,290556896,31090,00000,2536417
290556896,1137639739,29248,00000,2405459
1137639739,1583979530,7092,00000,1644041
1583979530,386163015,6518,00000,1653750
386163015,4927533103,1750,00000,1073667
4927533103,523181207,7740,00000,1673208
523181207,271077236,9856,00000,1967917
271077236,1036556213,12143,00000,2372250
1036556213,5123973698,10087,00000,2167333
5123973698,60402338,18762,00000,2729125
60402338,5255483847,9606,00000,2067708
5255483847,4928951089,11059,00000,2291458
4928951089,365327254,27004,00000,2710042
365327254,1247135116,5948,00000,1609167
1247135116,4943710254,1486,00000,1048000
4943710254,2055187536,17375,00000,2324375
2055187536,283672617,25524,00000,2564416
283672617,1317140578,28012,00000,1909042
1317140578,1810640968,27211,00000,4020166
1810640968,27351984,26692,00000,2415667
27351984,75682005,22947,00000,2628417
75682005,1948174310,5143,00000,3144584
1948174310,2343500887,14397,00000,4813875
2343500887,3351379356,4802,00000,1414375
3351379356,1629908159,12744,00000,2157500
1629908159,2153595768,19663,00000,1953083
2153595768,1241040847,16058,00000,1650125
1241040847,1567958600,14760,00000,2452333
1567958600,1858314763,2662,00000,1151667
1858314763,976528708,1788,00000,2008042
976528708,1114550100,7155,00000,3031917
1114550100,3629259211,5636,00000,14656292
3629259211,27113240,24551,00000,3604792
27113240,280233434,4877,00000,10056750
280233434,1108977540,5002,00000,5224667
1108977540,1113530290,14155,00000,3122125
1113530290,30916164,26921,00000,1684125
30916164,1100568139,26165,00000,1874584
1100568139,2902956170,27132,00000,2064417
2902956170,1137444633,15930,00000,2050459
1137444633,1166545705,1883,00000,687667
1166545705,618791459,4025,00000,1174833
618791459,2454663486,12065,00000,1751375
2454663486,2589112,11607,00000,1624834
2589112,2466998496,4693,00000,716875
2466998496,2300233213,6801,00000,869791
2300233213,293111883,19951,00000,1471459
293111883,2817854131,24727,00000,1703916
2817854131,428426964,3648,00000,884084
428426964,526956412,6668,00000,1401458
526956412,831751100,5815,00000,996958
831751100,5336685095,25453,00000,1798375
5336685095,1157740794,28012,00000,2136125
1157740794,1414518854,8183,00000,973250
1414518854,30411743,30676,00000,2825875
30411743,366722849,28346,00000,2310084
366722849,1588763775,5692,00000,999584
1588763775,2492621189,8548,00000,1382167
2492621189,2716999114,10537,00000,1357250
2716999114,1089093103,28106,00000,24670750
1089093103,1684471174,2852,00000,1265625
1684471174,1249081545,26062,00000,2275709
1249081545,1583042630,962,00000,655125
1583042630,3172733681,4800,00000,1093500
3172733681,288192924,31092,00000,1893542
288192924,268819891,24478,00000,1916959
268819891,303796074,6210,00000,1203625
303796074,316298322,8793,00000,1466750
316298322,824081309,13933,00000,1409583
824081309,1603832790,10841,00000,1019375
1603832790,1923335246,25816,00000,1818416
1923335246,268226390,27448,00000,2134958
268226390,1786084358,3385,00000,901958
1786084358,1163348321,6420,00000,737209
1163348321,3229025714,6933,00000,761375
3229025714,3679856409,6837,00000,912750
3679856409,243328796,8451,00000,1175167
243328796,281398142,12112,00000,1409625
281398142,1225963929,7124,00000,1413167
1225963929,3708661205,22462,00000,7274416
3708661205,2845922388,6318,00000,1174542
2845922388,291969030,26339,00000,1794458
291969030,276670439,26081,00000,3699708
276670439,258883075,2946,00000,693708
258883075,1787817529,5811,00000,779541
1787817529,2423817336,1955,00000,433000
2423817336,87225399,24925,00000,2029208
87225399,298885307,23707,00000,1716875
298885307,544722084,3589,00000,792250
544722084,1583995713,2515,00000,756041
1583995713,582115266,2309,00000,904208
582115266,27221454,25847,00000,2193209
27221454,1176722506,23720,00000,1577333
1176722506,1577249921,3217,00000,954458
1577249921,280098955,8421,00000,1094042
280098955,258395810,5869,00000,979666
258395810,1840092868,3762,00000,903083
1840092868,3220252041,23811,00000,1874542
3220252041,1281931887,28616,00000,1685833
1281931887,59988853,5976,00000,1194625
59988853,1166496573,5225,00000,1192833
1166496573,2656872490,6649,00000,1438417
2656872490,1221772677,17402,00000,2422125
1221772677,321584845,21692,00000,2115167
321584845,1179514095,3085,00000,731542
1179514095,608969371,5598,00000,1241167
608969371,103097037,24704,00000,1820250
103097037,118511,10153,00000,1591375
118511,2390394610,8770,00000,1612708
2390394610,253263154,24458,00000,2585250
253263154,330116470,6183,00000,1273958
330116470,280400100,8176,00000,1181125
280400100,685442888,3122,00000,603959
685442888,695233462,1800,00000,686042
695233462,1583260288,9686,00000,1351500
1583260288,1112167094,10047,00000,798542
1112167094,2152226124,29654,00000,2071083
2152226124,27130803,6751,00000,1517458
27130803,258361016,24411,00000,2928583
258361016,271333829,9879,00000,1585375
271333829,276426807,6499,00000,1289625
276426807,287324466,3392,00000,1047583
287324466,30789846,6032,00000,1506792
30789846,1098600698,4979,00000,1592916
1098600698,34784046,21863,00000,3110167
34784046,1219128650,31647,00000,6977291
1219128650,2122767135,11404,00000,1818125
2122767135,1116379886,11687,00000,1749000
1116379886,1091205413,3724,00000,918959
1091205413,366722886,10126,00000,1288334
366722886,3016814005,9566,00000,1407167
3016814005,244153941,5010,00000,1029125
244153941,1068739268,3550,00000,930666
1068739268,1215231870,3122,00000,1270334
1215231870,1631262349,1227,00000,737208
1631262349,413495478,4593,00000,1279333
413495478,1119750877,5521,00000,1675375
1119750877,1782949002,11915,00000,1884084
1782949002,1644201659,12794,00000,1370709
1644201659,1775807711,9431,00000,1484667
1775807711,252621024,4353,00000,1034375
252621024,446017633,6929,00000,1287208
446017633,251837073,7130,00000,1816666
251837073,3715007196,7051,00000,1486000
3715007196,3295493770,9835,00000,1550250
3295493770,1436711123,13686,00000,1860416
1436711123,2912513110,11442,00000,1822042
2912513110,5333945032,8812,00000,1094250
5333945032,2359406691,17433,00000,2574000
2359406691,1019822830,23191,00000,2023000
1019822830,1025539885,5500,00000,918459
1025539885,1585001957,6529,00000,1182542
1585001957,4929272652,7466,00000,1405292
4929272652,3729655373,3122,00000,992458
3729655373,3160855902,3891,00000,720709
3160855902,282018642,1558,00000,467625
282018642,13135378,19475,00000,1820750
13135378,295122239,945,00000,465917
295122239,339230293,3351,00000,923792
339230293,4605370233,12949,00000,1107042
4605370233,587927991,22649,00000,2283167
587927991,320207080,16696,00000,1950875
320207080,1368336344,2864,00000,869250
1368336344,4564063017,26194,00000,2167625
4564063017,830425833,5211,00000,915958
830425833,2349103648,15411,00000,2317500
2349103648,3104429731,2541,00000,623708
3104429731,429261587,5641,00000,778584
429261587,294854820,18147,00000,2124083
