Source,Target,Distance,ExecutionTime
27133378,704345264,21071,00000,4198833
704345264,73237290,15542,00000,5301375
73237290,1579925400,15329,00000,4035125
1579925400,376037982,5947,00000,2020125
376037982,1468014824,9190,00000,1743625
1468014824,2301484620,16102,00000,1904500
2301484620,280230255,10132,00000,1540084
280230255,321728043,12361,00000,1529542
321728043,286742469,16369,00000,1444375
286742469,1922524808,3235,00000,1043583
1922524808,290841385,2498,00000,1312292
290841385,5397142337,16142,00000,1266875
5397142337,4910984011,4498,00000,896541
4910984011,31663991,11123,00000,919875
31663991,2218328650,3387,00000,992625
2218328650,254512234,8003,00000,1127834
254512234,1128557959,20671,00000,2143000
1128557959,1022874753,16115,00000,1590542
1022874753,4125266186,12760,00000,1676792
4125266186,577171910,17304,00000,2493541
577171910,4675380175,17491,00000,4121542
4675380175,5177749028,17951,00000,6089042
5177749028,1152928166,14011,00000,2324375
1152928166,1599778802,2035,00000,3163000
1599778802,303794758,4459,00000,2194292
303794758,1390303924,8937,00000,3150125
1390303924,603524890,4332,00000,1680667
603524890,602639339,7504,00000,1849708
602639339,2293306047,1899,00000,1271625
2293306047,609056673,5049,00000,1313250
609056673,1285515606,13372,00000,1447083
1285515606,1102671178,24358,00000,1709167
1102671178,3159184624,20522,00000,2020375
3159184624,1458116421,6020,00000,1121500
1458116421,282757465,23460,00000,1529875
282757465,1210552941,19816,00000,2465125
1210552941,203126759,10393,00000,6393958
203126759,1420418848,8693,00000,3511000
1420418848,888763552,22005,00000,1594167
888763552,12647125,12734,00000,1802417
12647125,475287201,9685,00000,1071792
475287201,1028540529,8855,00000,1192958
1028540529,559775099,7704,00000,1308208
559775099,334003151,16053,00000,1872458
334003151,1666385459,15651,00000,1173666
1666385459,3679433001,7869,00000,1098250
3679433001,262228287,4891,00000,1410542
262228287,1244765189,4675,00000,1112292
1244765189,4086533545,1449,00000,944042
4086533545,2512161841,9303,00000,1381458
2512161841,1289313765,17436,00000,1754083
1289313765,66521490,4336,00000,1578750
66521490,576736,631,00000,1351375
576736,1673198126,1652,00000,1463958
1673198126,5117976310,22598,00000,1726500
5117976310,2414363764,2026,00000,1038250
2414363764,1212691036,13021,00000,1538500
1212691036,1547705157,16772,00000,1531708
1547705157,1987197402,3201,00000,2973542
1987197402,1363132415,9975,00000,4377667
1363132415,507913272,9665,00000,1462333
507913272,1038529995,21435,00000,1667667
1038529995,4477000710,2720,00000,1080958
4477000710,393669077,16200,00000,1640958
393669077,1223319030,3420,00000,1134916
1223319030,4489842543,14464,00000,1611834
4489842543,738933272,11492,00000,1348709
738933272,1119074308,9721,00000,1629250
1119074308,1152671155,14425,00000,1517708
1152671155,287996530,5921,00000,1515333
287996530,372795529,18769,00000,1860917
372795529,4173033482,7369,00000,1222333
4173033482,391752021,10057,00000,2919166
391752021,4675573057,2365,00000,1643542
4675573057,1368359049,20653,00000,2412542
1368359049,1080706477,22294,00000,1592000
1080706477,4564267360,9367,00000,1247458
4564267360,1016075288,7048,00000,1187958
1016075288,294233407,7532,00000,905958
294233407,843260525,17151,00000,1670417
843260525,1768590436,20815,00000,1886542
1768590436,4550165990,3411,00000,1059833
4550165990,4065830100,18905,00000,1608667
4065830100,317991583,13094,00000,1613042
317991583,1224772939,7948,00000,962292
1224772939,4525073367,12702,00000,1671917
4525073367,1659768249,11210,00000,3703041
1659768249,281962265,8263,00000,1572459
281962265,3419903325,5585,00000,2578250
3419903325,313316536,15793,00000,2579417
313316536,2154542914,5259,00000,2822000
2154542914,2291030506,4547,00000,1676416
2291030506,271843753,11636,00000,1849542
271843753,270457579,9200,00000,1784167
270457579,4528007040,11815,00000,1879625
4528007040,3150329044,5626,00000,1603917
3150329044,1763013383,15124,00000,2462875
1763013383,3444940316,18617,00000,4511000
3444940316,1689548678,18232,00000,2680833
1689548678,1106361631,13170,00000,2437500
1106361631,504929182,12289,00000,1438334
504929182,4291298688,14626,00000,831083
4291298688,29511813,18415,00000,1058541
29511813,711900616,12922,00000,1067500
711900616,2304174051,10047,00000,944416
2304174051,2855616017,3299,00000,535250
2855616017,421869697,24106,00000,1196625
421869697,4696370581,23037,00000,1096375
4696370581,790120764,21440,00000,1124875
790120764,253683859,18413,00000,1693292
253683859,4961117590,1778,00000,1434834
4961117590,95168471,8836,00000,2099750
95168471,416101868,11131,00000,4171625
416101868,3192235140,8804,00000,6472209
3192235140,3734660819,6498,00000,33678542
3734660819,4194661287,16228,00000,1479250
4194661287,281955188,9625,00000,1388375
281955188,3878713463,14880,00000,1613250
3878713463,1595288799,9628,00000,1007875
1595288799,1113735000,11621,00000,1406791
1113735000,4186939891,20385,00000,1115958
4186939891,4955455036,17952,00000,1124292
4955455036,3734946888,10763,00000,1175166
3734946888,3964659936,4066,00000,879375
3964659936,1117738265,10996,00000,2105625
1117738265,701735,19859,00000,1963333
701735,3242242988,14478,00000,1750875
3242242988,4598316028,3429,00000,1349792
4598316028,3464359264,8984,00000,2132125
3464359264,598215138,20003,00000,1967083
598215138,1496359567,15745,00000,2078917
1496359567,663569237,5476,00000,1131500
663569237,3673780398,12850,00000,2257167
3673780398,1096234781,8367,00000,935959
1096234781,298246639,16457,00000,1740041
298246639,2290133686,18832,00000,6772416
2290133686,4713894983,10348,00000,1226666
4713894983,4195271439,18067,00000,1269917
4195271439,339595027,2258,00000,973500
339595027,417126784,18953,00000,1391167
417126784,2397633952,10838,00000,1445875
2397633952,4125339838,13315,00000,1535583
4125339838,2986106810,22037,00000,1439125
2986106810,5404229651,21952,00000,1636292
5404229651,315856394,12286,00000,917375
315856394,1392796582,8971,00000,816791
1392796582,1581743329,6425,00000,988167
1581743329,265446507,12103,00000,945584
265446507,303487658,5802,00000,923000
303487658,252188529,17144,00000,1548542
252188529,38536429,5490,00000,991917
38536429,1587648827,5882,00000,937291
1587648827,1584895620,8259,00000,1359209
1584895620,1107496801,8321,00000,958750
1107496801,745834788,6773,00000,1165208
745834788,444741246,8701,00000,1672042
