Source,Target,Distance,ExecutionTime
420351192,4747501960,10519,00000,1740916
2281818822,5333945037,21557,00000,2492875
1016920391,399769584,6298,00000,1260625
1089226063,1707108148,8086,00000,1631291
2041861471,17177667,3991,00000,1043208
339346681,2458113434,27509,00000,2785333
281896662,1150687812,15026,00000,2113584
2467608956,5008872801,21829,00000,1670250
4986627983,13094020,18568,00000,2042333
75620278,3561184761,3909,00000,1125208
31233830,4422934897,24676,00000,2081084
295975039,4497111770,19384,00000,1847875
430206004,310148328,8308,00000,1843458
3810408201,1108851312,10100,00000,1997333
2486635466,299614913,7030,00000,1396583
842544471,2955914365,9049,00000,1635125
1571179191,3281200471,6305,00000,1420208
97981448,2377765218,8827,00000,1664000
25931530,2590770562,2443,00000,801584
1357409952,2571442940,2689,00000,1183125
4196734180,1533759277,26893,00000,2779958
282025011,3635089398,18448,00000,2589875
123941452,2859442256,7858,00000,2031250
1027101304,3789570067,1549,00000,716708
1200566219,21455839,1861,00000,697000
320919419,1082367884,19111,00000,2347583
440893230,431244599,23641,00000,2396792
33981912,1617620554,5332,00000,1644750
3422950801,2966746265,7921,00000,1815458
392711543,412776202,21158,00000,2153166
278493083,3961885572,18403,00000,2861416
1441030561,29511745,22958,00000,2391125
256743403,5049805257,3413,00000,1160667
671553316,265711039,8791,00000,1729709
1775842797,4703998180,4468,00000,822375
76812875,435046199,5912,00000,1530167
1272422907,340351899,7576,00000,1390667
685791349,437139795,8043,00000,1356666
2612120388,1135357052,8879,00000,1792000
1748677975,2720470858,11320,00000,1524250
474614065,4434857607,6825,00000,1092792
4788446830,2694607670,10650,00000,1987750
17207416,280454760,10021,00000,2082292
333178234,3165059907,1668,00000,609541
2515257115,1168499833,28519,00000,2055167
4906190688,571345585,3680,00000,999208
4515980738,444812588,6607,00000,1196041
1163376918,3220472180,4684,00000,1000916
1596241652,898746828,4045,00000,1054250
373277883,3036890817,1453,00000,1067208
1619530753,280441134,9786,00000,1994625
386922629,1306829650,11722,00000,1518708
1292990284,1308260762,23116,00000,2210625
1610599035,2298175733,12128,00000,1790125
471531790,4190114695,10596,00000,1732083
4467801742,4476548635,23713,00000,2185208
2338495084,2094436775,2955,00000,1417583
2486377545,1581590814,7080,00000,1743542
670672835,1161586420,7823,00000,1700500
4900329701,1745726,1422,00000,2174083
3900264292,4421004196,7454,00000,2700625
674686233,4033761567,22034,00000,3781250
5056697612,1588454513,7020,00000,2376584
1945673310,1791264948,24052,00000,3553250
273922652,115061285,9761,00000,3429833
243328801,1239505077,4507,00000,2215167
