Source,Target,Distance,ExecutionTime
2512162014,5401798456,15123,00000,1279541
29594613,370118246,17789,00000,1627292
1555894356,290623229,8374,00000,1464334
2035467192,343473028,14911,00000,1565750
7307540,107917843,9816,00000,1772959
262137516,174086916,5294,00000,1496041
1990775015,334367987,8998,00000,1519709
1580190898,1105109854,7628,00000,1508542
3188259702,2817821559,12109,00000,2415083
255164446,514367768,16478,00000,1582166
2456155587,3723447683,17437,00000,1729167
4121823461,263368787,9728,00000,1892208
1607795051,1179390971,7210,00000,930708
595655346,3703204086,17407,00000,1435500
2351510806,256513238,3967,00000,858292
343065562,5345111029,16869,00000,1618792
504923087,1809310602,15000,00000,1012375
2079645370,286837664,4837,00000,699834
1164548674,118681,6042,00000,811083
31466444,489395752,-1,00000,1429667
290646041,1223205583,11753,00000,1891959
3713815423,289472782,17051,00000,1770792
274754774,2353730637,12172,00000,1612750
5222515821,4888225950,14318,00000,2271708
2569498154,1530283373,12768,00000,3518125
1089199074,315856394,17908,00000,3297250
296306719,2520774455,23034,00000,3533833
262498290,1728860700,2580,00000,4936291
4847380519,276218784,18057,00000,5119125
4421133546,3182489381,6221,00000,3439583
26981769,285935802,14164,00000,2816584
34024018,300655066,16043,00000,2939500
1402895712,29972683,18461,00000,3017500
3294255436,321346434,3970,00000,3670250
1680714646,3163713024,13450,00000,4219625
523233414,1934780077,17145,00000,4077000
4119499674,3062567770,15325,00000,3215125
2883498579,488536284,11732,00000,2728708
2838661501,1226052433,18155,00000,2753000
4298052645,850481584,4360,00000,2432875
1095206923,4135067909,3327,00000,3423084
313927245,1091561298,5024,00000,3146750
2661457931,1298917185,11885,00000,3628084
1282837337,776256575,4809,00000,2379042
1309645145,3221834449,3972,00000,2383334
1336473631,1283421236,14866,00000,2730333
1792376903,305722766,-1,00000,4966458
2807569839,4955450740,12779,00000,4224959
1221739035,4252220390,2452,00000,4602500
1509547520,490368898,9924,00000,5955250
3619147663,3731432818,9809,00000,3640458
1187290301,1082241389,16850,00000,5031834
1068964678,3398112272,12121,00000,4359500
3470915871,268084396,10246,00000,3167167
347648645,346151386,18692,00000,3157375
4202690792,4379628043,13905,00000,3208917
4928982759,1100516400,11443,00000,34757958
4157728697,344968584,16208,00000,1426250
403797192,577473976,12547,00000,1049541
388404246,1835327410,3968,00000,877750
2394747794,1494170048,4909,00000,1204083
4428983829,3905350951,208,00000,504500
458321925,391518967,10860,00000,1092584
117541,764357628,2716,00000,1206750
313316505,4580849623,96,00000,738625
4593241775,4605370229,10805,00000,1327834
697768451,2007116619,14404,00000,13932417
3396544685,1099073474,12408,00000,1120584
3100081622,1016074974,7187,00000,911500
3228768948,655152112,8978,00000,849917
1351401724,1247506935,18360,00000,1399292
5351682512,3208306627,9336,00000,1233875
342267684,2293330946,9764,00000,1390250
1081999385,368181446,15726,00000,1295167
1137507997,2441404777,6772,00000,1291292
294243140,3187668865,4637,00000,1463209
399754720,3791180347,3356,00000,1661375
1937180391,252109031,11612,00000,2242709
3476471806,310749332,17942,00000,1825792
3631896639,275916839,7772,00000,1093375
1583260503,2329900539,15631,00000,1581792
5270159244,3126234144,12433,00000,1212458
1099806291,310148333,13430,00000,1248875
296341941,1350416938,21773,00000,1905584
1788362304,30434785,16452,00000,4923333
1601689439,1103792580,18407,00000,1330584
1290806789,1218060180,4640,00000,889291
2237273194,281393687,15595,00000,3127959
4153219063,791242323,7693,00000,1937084
1015131550,1089039806,20582,00000,1709792
122743571,436068789,13110,00000,1056917
247475188,2501756764,5046,00000,765583
1693237779,2450674436,16514,00000,1331041
4929281168,371446275,5883,00000,1084667
4927485419,3900163928,14528,00000,1527916
3304986653,266165296,2881,00000,514500
33153466,583691822,3792,00000,611750
244976293,295264780,22170,00000,1311083
4906190711,3305459118,6455,00000,898875
4154186303,430653986,11961,00000,1028084
4896086481,1673514158,20515,00000,1273584
1255825274,357383082,5534,00000,1169458
1159815999,269893353,9275,00000,1123417
1081965294,3404577758,7955,00000,1197959
442563997,2915637669,1407,00000,811334
3776243629,3256192158,5092,00000,1096000
1785194132,370117542,14019,00000,1855000
403412382,4777035212,17357,00000,1421375
4569433042,107876267,12147,00000,1053875
506742651,1127786643,7686,00000,864375
276257649,534648187,1623,00000,673834
3163887365,356243000,7152,00000,822333
1300151882,1278472287,17249,00000,1222417
2460900030,410647092,6460,00000,635167
415896608,333179155,4478,00000,1167416
1253115644,3436893346,4566,00000,1338958
2908120214,286514091,15351,00000,2082708
1349396108,1829744808,14410,00000,1779334
339249565,412125339,18976,00000,1515292
479251723,1099035503,12476,00000,1581709
1559838266,318239704,6935,00000,1220917
294153058,118721,8813,00000,1105959
4374885861,1097821119,9530,00000,1179083
596274047,2612120169,7364,00000,1048875
1977133176,3578263651,-1,00000,1835209
1825480555,4206136863,7451,00000,1266750
2162430263,3227225096,14834,00000,1713125
1861876313,774061978,5828,00000,1278041
4798053061,265847052,7761,00000,1557667
1312989181,1225835427,14001,00000,1605208
367689316,308208596,16160,00000,1765750
2616222693,203127108,8909,00000,1689959
1893903953,821921484,8699,00000,1428292
1326216590,2104742220,1668,00000,1394292
2589609259,32343803,21569,00000,2127042
1472245949,56526085,8519,00000,1778583
1165267280,5219516992,10283,00000,1663166
307531340,1134277830,11750,00000,1398083
340836525,722263,13765,00000,1787917
493400301,5174250260,4831,00000,2468458
27380588,1116147486,18469,00000,1656166
5191871580,2372774918,19309,00000,1656041
3506673199,654106931,9697,00000,1072792
1098088275,97994171,11666,00000,1107333
2618833322,2767113542,6245,00000,757125
5089014661,4770751951,12180,00000,1158334
321437326,1073461645,13337,00000,1286459
4185788359,278219808,674,00000,504750
1488323060,1224500553,14929,00000,1313042
4065829986,1550127618,3200,00000,759459
265515017,292460459,2654,00000,803459
1027921858,3887956366,8129,00000,993291
1148158019,473115680,9454,00000,821167
2653207194,5331858591,18654,00000,1510750
1414518966,1185175801,5110,00000,646375
4193554940,2338494835,4321,00000,919709
2174054482,47015936,7042,00000,560083
2068082009,1578751754,12681,00000,1372250
2774119023,310655102,16421,00000,1841875
1283395455,224285440,7006,00000,1387625
1607586502,1181188389,2964,00000,815250
1688848753,1798746191,14034,00000,1556500
3234238024,2213753214,8295,00000,1326875
5316660356,310769468,15189,00000,1972791
4589997570,4209719894,7003,00000,1317708
2876019281,1607283322,2935,00000,886292
603858312,4948381427,9739,00000,1357084
1094416009,5167493720,6661,00000,1257334
321575756,4280320820,10811,00000,1389875
3158596789,262137522,6137,00000,1086333
2216066839,4956887775,8524,00000,1595042
280966328,1576112096,5985,00000,1428125
568490381,34002200,18098,00000,1433458
1188858303,2426538484,20414,00000,1220583
154434145,1096242054,6623,00000,1197875
1341616405,427740118,12961,00000,1866958
1680842147,5178971059,4190,00000,1214958
47014801,76813064,10492,00000,1224000
1568318020,2554543536,2391,00000,1306292
294886663,1877830610,10216,00000,2047292
279889808,2598280829,8246,00000,1246666
674128558,4608182099,6813,00000,2439417
1426349643,308669433,7147,00000,3529167
1320385648,4929241550,16075,00000,3907834
3092113900,255711671,12738,00000,3223875
1290610417,1269551481,3128,00000,2996667
672231177,3121879541,15383,00000,3673083
312487811,484273863,12552,00000,3479041
5012466364,7451598,3641,00000,3287500
343277097,437117921,13744,00000,3686834
2411230852,332297156,13508,00000,4092166
264132837,267840218,10838,00000,2614625
290792067,290877279,10616,00000,2126500
2681232129,1128431027,7070,00000,2595041
61105047,2603833664,17388,00000,1722167
305643426,525853799,3483,00000,502042
5265904626,1949937610,12603,00000,1368667
1298515950,1256999430,10207,00000,1417708
490368480,95260470,14434,00000,1105958
1131028597,1122435196,13734,00000,1239666
257567428,270138510,4493,00000,982375
2640125399,241419865,22627,00000,1989458
1022394329,3300142205,8141,00000,1251708
5306064480,3287787886,12409,00000,1127625
252111247,2049589669,18561,00000,1032542
2737108019,1311098913,8173,00000,1177625
281260951,821518188,6513,00000,1163917
254446203,4927503275,15739,00000,1590292
388401926,4927533102,6622,00000,1627333
122113595,370117938,20011,00000,1674833
2027524228,1510710533,10503,00000,985833
4929152938,268888233,8507,00000,905750
1693464155,258411038,13525,00000,1869084
5088315933,861611796,18617,00000,4385875
5272349099,866988012,4812,00000,1134083
24953649,2754293003,1559,00000,1174334
2678717088,2300233129,7259,00000,3035208
311340078,277897413,5011,00000,1066875
3463286647,2062275459,14760,00000,3407500
2720470911,1591513249,3974,00000,1043125
2902531717,32994924,20196,00000,2181625
700336671,1015397898,12284,00000,1801959
4309203676,1165827695,9541,00000,1670083
2670899273,29977519,20759,00000,1813666
116040259,4421135090,10084,00000,1753000
248448476,2588080818,10580,00000,1360208
3476472111,1877830918,15856,00000,2030458
2657916050,1080706541,935,00000,1526750
1420267429,251740405,5166,00000,1643125
2426385440,2415181520,8169,00000,1915833
4658772083,17505489,748,00000,1776084
2570413719,5023331697,11230,00000,7359083
3426869714,257428027,17451,00000,8092709
4081345295,344727832,15526,00000,2061083
261022130,1700459417,12201,00000,1606625
4971289144,2055136842,15603,00000,2221000
2968705641,303793401,12127,00000,2250166
2071614543,1116602237,14794,00000,2276667
2370496452,681625,17357,00000,2433250
4184495019,3048941386,5356,00000,2121208
4960583497,1133815544,6632,00000,2162250
1585090345,5087758887,4938,00000,1427541
256326378,925335582,10505,00000,2387417
3145428502,2375824453,7606,00000,3433625
311820239,1094686807,7680,00000,2036917
4956887592,382987587,7970,00000,1515667
301893156,4512518763,8907,00000,1501333
2688113787,8140510,7342,00000,1498333
439993950,333178179,12777,00000,1598833
3163559816,1822585044,15162,00000,2281500
4428919760,1580191213,8416,00000,2321209
382955373,2393639453,13555,00000,2101458
1312826406,4943710252,14267,00000,2548208
2977269175,1829384819,8492,00000,1956458
286982630,371884814,5480,00000,1622500
2038107653,3076821882,10779,00000,1783083
281954214,1410123743,4847,00000,1452250
4526818579,455596018,5629,00000,1400959
416002119,2382249630,6148,00000,1858167
2076021624,2064564811,4360,00000,1159208
75618307,4927488349,-1,00000,1125709
1760397364,2249899095,9229,00000,1289458
252022634,1729429,16834,00000,1504291
1832881685,2733764888,8573,00000,1374875
5019236309,294174731,-1,00000,1491583
3623952634,3506002702,17779,00000,1399500
1170902853,1590560121,9867,00000,1533375
4007320434,430725829,5374,00000,865250
1298535362,4125266146,8507,00000,1301666
